Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,19,Bolivia (Plurinational State of),5510,Production,92,Quinoa,1961,1961,tonnes,9200,,Official data
QC,Crops,19,Bolivia (Plurinational State of),5510,Production,92,Quinoa,1962,1962,tonnes,10200,,Official data
QC,Crops,19,Bolivia (Plurinational State of),5510,Production,92,Quinoa,1963,1963,tonnes,13500,,Official data
QC,Crops,19,Bolivia (Plurinational State of),5510,Production,92,Quinoa,1964,1964,tonnes,11200,,Official data
QC,Crops,19,Bolivia (Plurinational State of),5510,Production,92,Quinoa,1965,1965,tonnes,6800,,Official data
QC,Crops,19,Bolivia (Plurinational State of),5510,Production,92,Quinoa,1966,1966,tonnes,8000,,Official data
QC,Crops,19,Bolivia (Plurinational State of),5510,Production,92,Quinoa,1967,1967,tonnes,7400,,Official data
QC,Crops,19,Bolivia (Plurinational State of),5510,Production,92,Quinoa,1968,1968,tonnes,9600,,Official data
QC,Crops,19,Bolivia (Plurinational State of),5510,Production,92,Quinoa,1969,1969,tonnes,9600,,Official data
QC,Crops,19,Bolivia (Plurinational State of),5510,Production,92,Quinoa,1970,1970,tonnes,9700,,Official data
QC,Crops,19,Bolivia (Plurinational State of),5510,Production,92,Quinoa,1971,1971,tonnes,10500,,Official data
QC,Crops,19,Bolivia (Plurinational State of),5510,Production,92,Quinoa,1972,1972,tonnes,10800,,Official data
QC,Crops,19,Bolivia (Plurinational State of),5510,Production,92,Quinoa,1973,1973,tonnes,12000,,Official data
QC,Crops,19,Bolivia (Plurinational State of),5510,Production,92,Quinoa,1974,1974,tonnes,13205,,Official data
QC,Crops,19,Bolivia (Plurinational State of),5510,Production,92,Quinoa,1975,1975,tonnes,15200,,Official data
QC,Crops,19,Bolivia (Plurinational State of),5510,Production,92,Quinoa,1976,1976,tonnes,14960,,Official data
QC,Crops,19,Bolivia (Plurinational State of),5510,Production,92,Quinoa,1977,1977,tonnes,9035,,Official data
